modelo;data_criacao;id_carro_modelo
ALAR;2022-09-23;619
LM002;2022-09-23;620
REVENTON;2022-09-23;621
ANKONIAN;2022-09-23;622
AVENTADOR;2022-09-23;623
SESTO ELEMENTO;2022-09-23;624
J3 TURIN;2022-09-23;625
J2;2022-09-23;626
SANDERO GT;2022-09-23;627
SPIN;2022-09-23;628
TRAILBLAZER;2022-09-23;629
C3 PICASSO;2022-09-23;630
GRAND C4 PICASSO;2022-09-23;631
JUMPER MINIBUS;2022-09-23;632
JUMPER VETRATO;2022-09-23;633
207 SEDAN;2022-09-23;634
207 QUIKSILVER;2022-09-23;635
207 ESCAPADE;2022-09-23;636
308 CC;2022-09-23;637
BOXER PASSAGEIRO;2022-09-23;638
NEW FIESTA SEDAN;2022-09-23;639
TRANSIT PASSAGEIRO;2022-09-23;640
TRANSIT CHASSI;2022-09-23;641
A4 AVANT;2022-09-23;642
S4 AVANT;2022-09-23;643
A5 SPORTBACK;2022-09-23;644
A5 CABRIOLET;2022-09-23;645
S5 COUPE;2022-09-23;646
S5 SPORTBACK;2022-09-23;647
S5 CABRIOLET;2022-09-23;648
A6 AVANT;2022-09-23;649
A6 ALLROAD;2022-09-23;650
S6 AVANT;2022-09-23;651
S7;2022-09-23;652
TT ROADSTER;2022-09-23;653
TT RS;2022-09-23;654
TT RS ROADSTER;2022-09-23;655
TTS ROADSTER;2022-09-23;656
R8 SPYDER;2022-09-23;657
R8 GT;2022-09-23;658
R8 GT SPYDER;2022-09-23;659
F12;2022-09-23;660
458 SPIDER;2022-09-23;661
458 ITALIA;2022-09-23;662
FF;2022-09-23;663
599;2022-09-23;664
SA;2022-09-23;665
CHALLENGE;2022-09-23;666
SUPERAMERICA;2022-09-23;667
F430 SPIDER;2022-09-23;668
612 SESSANTA;2022-09-23;670
599 GTB;2022-09-23;671
SCUDERIA SPIDER;2022-09-23;672
512;2022-09-23;673
456 GT;2022-09-23;674
348 GTS;2022-09-23;675
348 SPIDER;2022-09-23;676
F355;2022-09-23;677
F355 SPIDER;2022-09-23;678
F50;2022-09-23;679
355 SPIDER;2022-09-23;680
360 MODENA;2022-09-23;681
PAJERO FULL;2022-09-23;682
PAJERO DAKAR;2022-09-23;683
PAJERO TR4;2022-09-23;684
LANCER SPORTBACK;2022-09-23;685
LANCER EVOLUTION;2022-09-23;686
L200 TRITON SAVANA;2022-09-23;687
L200 TRITON;2022-09-23;688
LIVINA X-GEAR;2022-09-23;689
GRAND LIVINA;2022-09-23;690
NEW ACTYON SPORTS;2022-09-23;691
PRIUS;2022-09-23;692
SPORT;2022-09-23;693
MTS;2022-09-23;694
KABRIO;2022-09-23;696
SAGA;2022-09-23;697
SAGA II;2022-09-23;698
787;2022-09-23;699
X11;2022-09-23;700
GAIOLA;2022-09-23;701
NITRO;2022-09-23;702
CHALLENGER;2022-09-23;703
DART;2022-09-23;704
CHARGER;2022-09-23;707
WINDSOR;2022-09-23;708
CROSSFIRE;2022-09-23;709
ESCALADE;2022-09-23;711
RIVIERA;2022-09-23;712
CENTURY;2022-09-23;714
CENTURION;2022-09-23;716
EIGHT;2022-09-23;717
ELECTRA;2022-09-23;718
ESTATE WAGON;2022-09-23;719
GRAN SPORT;2022-09-23;720
GSX;2022-09-23;721
INVICTA;2022-09-23;722
LESABRE;2022-09-23;723
LIMITED;2022-09-23;724
PARK AVENUE;2022-09-23;725
RAINIER;2022-09-23;726
REATTA;2022-09-23;727
REGAL;2022-09-23;728
RENDEZVOUS;2022-09-23;729
ROADMASTER;2022-09-23;730
ROYAUM;2022-09-23;731
SKYHAWK;2022-09-23;732
SKYLARK;2022-09-23;733
SOMERSET;2022-09-23;734
SPECIAL;2022-09-23;735
SPORT WAGON;2022-09-23;736
SUPER;2022-09-23;737
TERRAZA;2022-09-23;738
WILDCAT;2022-09-23;739
LACROSSE;2022-09-23;740
ENCLAVE;2022-09-23;741
GL8;2022-09-23;742
HRV;2022-09-23;743
LUCERNE;2022-09-23;744
SIERRA;2022-09-23;745
BROUGHAM;2022-09-23;746
DAMAS;2022-09-23;748
GENTRA;2022-09-23;749
MAEPSY;2022-09-23;750
KALOS;2022-09-23;752
LACETTI;2022-09-23;754
SOUL;2022-09-23;755
SPORTAGE;2022-09-23;756
ACTYON;2022-09-23;757
MARAJO;2022-09-23;758
SUPREMA;2022-09-23;759
NEW BEETLE;2022-09-23;760
QUANTUM;2022-09-23;761
CROSSFOX;2022-09-23;762
MILLE;2022-09-23;763
GC2;2022-09-23;764
EC7;2022-09-23;765
530;2022-09-23;766
MOBI;2022-09-23;767
TORO;2022-09-23;768
RENEGADE;2022-09-23;769
DUSTER OROCH;2022-09-23;770
SANDERO RS;2022-09-23;771
HB20R;2022-09-23;772
GRAND SANTA FE;2022-09-23;773
GOLF VARIANT;2022-09-23;774
SPACE CROSS;2022-09-23;775
2008;2022-09-23;776
TOPIC;2022-09-23;777
T8;2022-09-23;779
T6;2022-09-23;780
T5;2022-09-23;781
KA SEDAN;2022-09-23;782
FOCUS FASTBACK;2022-09-23;783
